"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7329","Search flights from Delhi to Mumbai","MakeMyTrip Flight Search","2026-01-18","broken","2026-01-18","","","",""
"","2712","launch MakeMyTrip","MakeMyTrip Flight Search","2026-01-18","passed","2026-01-18","","","",""
